date;open;low;high;close;vol
2019-02-19 09:31:00;1601;1600.56;1626.24;1625.14;475792
2019-02-19 10:00:00;1625.62;1622.3;1629.66;1624.2255;391509
2019-02-19 11:00:00;1624.38;1621.72;1632.565;1631.6716;265209
2019-02-19 12:00:00;1631.41;1627.17;1632.4837;1627.795;142509
2019-02-19 13:00:00;1627.8239;1626.01;1630;1629.74;103391
2019-02-19 14:00:00;1629.6545;1626.801;1631.1;1631.07;136687
2019-02-19 15:00:00;1630.53;1626.75;1634;1627.4731;337854
2019-02-19 16:00:00;1627.405;1626.85;1628;1627.23;35624
2019-02-20 09:31:00;1630;1624;1634.93;1633.895;279121
2019-02-20 10:00:00;1633.46;1627.2;1634.5;1633.056;187188
2019-02-20 11:00:00;1632.9327;1629.6;1633.95;1631.16;134406
2019-02-20 12:00:00;1631;1611.83;1631.411;1615;265924
2019-02-20 13:00:00;1615.0804;1614.8;1623.4;1622.3061;173443
2019-02-20 14:00:00;1622.1785;1610.12;1626.82;1620.7;370743
2019-02-20 15:00:00;1620.95;1619.07;1623.3542;1621.1749;244302
2019-02-20 16:00:00;1621.4;1620.64;1622.2;1622.12;23296
2019-02-21 09:31:00;1619.85;1604;1622.97;1605.995;435703
2019-02-21 10:00:00;1605.97;1600.91;1612.465;1610.275;412691
2019-02-21 11:00:00;1609.945;1608.13;1616.64;1614.6354;244294
2019-02-21 12:00:00;1614.69;1614.17;1622;1620.72;211319
2019-02-21 13:00:00;1620.7;1618.1;1623.56;1619.3566;140496
2019-02-21 14:00:00;1619.91;1608.34;1620.8312;1610.335;192488
2019-02-21 15:00:00;1610.14;1610;1619.395;1619.25;232037
2019-02-21 16:00:00;1619.325;1619.1101;1619.895;1619.49;12357
2019-02-22 09:31:00;1623.5;1621.17;1634;1628.4106;368936
2019-02-22 10:00:00;1628.96;1623.78;1631.0702;1629.945;250005
2019-02-22 11:00:00;1629.82;1628.04;1634.94;1631.0199;227401
2019-02-22 12:00:00;1631.16;1629.3;1632.99;1630.9;108040
2019-02-22 13:00:00;1630.35;1629.915;1632.27;1631.2393;104401
2019-02-22 14:00:00;1631.0158;1626.21;1632.87;1627;159337
2019-02-22 15:00:00;1627.29;1626.5;1632.55;1630.82;250854
2019-02-22 16:00:00;1630.98;1630.25;1631.2;1630.71;13188
2019-02-25 09:31:00;1641.45;1640;1654.6;1645.02;507895
2019-02-25 10:00:00;1645;1637.5;1647.387;1644.454;308439
2019-02-25 11:00:00;1644.515;1639.01;1646.2;1641.28;147673
2019-02-25 12:00:00;1640.95;1630.3873;1641.56;1632.4614;185865
2019-02-25 13:00:00;1632.66;1631.91;1636.82;1636.215;135981
2019-02-25 14:00:00;1636.0651;1634.88;1638.685;1635.7;138671
2019-02-25 15:00:00;1635.6101;1630.65;1638.08;1632.87;208782
2019-02-25 16:00:00;1632.5;1632;1633;1632.1549;10864
2019-02-26 09:31:00;1625.98;1616.1335;1626.4854;1620.1364;272709
2019-02-26 10:00:00;1620.3582;1619.25;1632.36;1624.67;248127
2019-02-26 11:00:00;1624.12;1622.9544;1631.55;1625.308;132942
2019-02-26 12:00:00;1625;1619.885;1625.765;1623.23;140969
2019-02-26 13:00:00;1623.01;1622.5295;1628.7;1627.8;119466
2019-02-26 14:00:00;1627.93;1626.8;1635.44;1633.1;175412
2019-02-26 15:00:00;1633.53;1633.3114;1639.99;1638.035;286862
2019-02-26 16:00:00;1637.96;1637.25;1638.0276;1637.52;4591
2019-02-27 09:31:00;1628.18;1623.61;1635.79;1627.0943;261522
2019-02-27 10:00:00;1626.73;1615.1;1626.73;1620.5353;405146
2019-02-27 11:00:00;1620.78;1619.11;1630.77;1627.955;215741
2019-02-27 12:00:00;1628.19;1626.92;1631.66;1627.5;111624
2019-02-27 13:00:00;1627.5;1626.83;1637.12;1636.75;195875
