date;open;low;high;close;vol
02.01.2013;256.079987;253.259995;258.100006;257.309998;3271000
03.01.2013;257.269989;256.369995;260.880005;258.480011;2750900
04.01.2013;257.579987;256.649994;259.799988;259.149994;1874200
07.01.2013;262.970001;262.670013;269.730011;268.459991;4910000
08.01.2013;267.070007;263.570007;268.980011;266.380005;3010700
09.01.2013;268.170013;265.399994;269.5;266.350006;2265600
10.01.2013;268.540009;262.299988;268.73999;265.339996;2863400
11.01.2013;265.100006;264.109985;268.429993;267.940002;2413300
14.01.2013;268;267.540009;274.26001;272.730011;4275000
15.01.2013;270.679993;269.299988;272.730011;271.899994;2326900
16.01.2013;270.529999;267.829987;271.23999;268.929993;2065600
17.01.2013;271.5;269.209991;271.970001;270.480011;1884600
18.01.2013;270.829987;269.600006;274.5;272.119995;2942000
22.01.2013;271.619995;269.230011;272.100006;270.190002;2137700
23.01.2013;270.570007;266.649994;271.089996;268.109985;2508900
24.01.2013;269.369995;269.369995;276.649994;273.459991;3417000
25.01.2013;275;274.399994;284.720001;283.98999;4968100
28.01.2013;283.779999;274.399994;284.480011;276.040009;4321400
29.01.2013;275.350006;258.350006;275.459991;260.350006;10172600
30.01.2013;283;267.109985;284.200012;272.76001;13075400
31.01.2013;271.040009;263.700012;275.940002;265.5;6772100
01.02.2013;268.929993;262.799988;268.929993;265;6115000
04.02.2013;262.779999;259.070007;264.679993;259.980011;3723600
05.02.2013;262;261.459991;268.029999;266.890015;4012900
06.02.2013;265.160004;261.109985;266.890015;262.220001;2770400
07.02.2013;264.100006;255.110001;264.100006;260.230011;3975700
08.02.2013;261.399994;260.549988;265.25;261.950012;3879200
11.02.2013;263.200012;256.600006;263.25;257.209991;3403700
12.02.2013;259.190002;257;260.160004;258.700012;2943700
13.02.2013;261.529999;260.299988;269.959991;269.470001;5293000
14.02.2013;267.369995;265.399994;270.649994;269.23999;3463000
15.02.2013;267.630005;263.109985;268.920013;265.089996;3979900
19.02.2013;265.910004;264.5;270.109985;269.75;2854200
20.02.2013;270.200012;266.369995;274.299988;266.410004;3528900
21.02.2013;265.119995;263.25;269.480011;265.940002;3637400
22.02.2013;266.619995;261.609985;267.109985;265.420013;3124800
25.02.2013;266.940002;259.649994;268.690002;259.869995;3032400
26.02.2013;260.890015;255.729996;262.040009;259.359985;3348600
